Name,Source,Technique,Security Oriented,Being Maintained (Recent 2 Years)),Available,CLI Support,Integration of Tools,Run Properly
CodeFlow,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Codemodder,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,,,yes,
CodeQL,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),"CodePatternMatching, Taint Analysis",yes,yes,yes,,,
CodeScene,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
CodeSee,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Codety,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
Codiga,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,,no,,
Corgea,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),AI,yes,,try,no,,
Coverity,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
DerScanner,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
DevSkim,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),CodePatternMatching,yes,yes,yes,,,
emerge,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Fortify,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,no,,,
Hound CI,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
include-gardener,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
keploy,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Kiuwan,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,no,,,
Klocwork,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,try,no,,
lizard,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Mega-Linter,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,yes,
MOPSA,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
OpenStaticAnalyzer,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,no,,,,
pfff,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,no,,,,
Pixee,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
Precaution,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,yes,no,,
pylama,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
relint,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Scrutinizer,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Semgrep,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),"CodePatternMatching, Taint Analysis",yes,yes,yes,,,
Snyk,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),"AI, Taint Analysis",yes,yes,try,,,
SonarQube,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),Taint Analysis,yes,yes,no,,,
SourceMeter,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
StaticReviewer,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,no,,,
Teamscale,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
Unibeautify,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
CodeValor,NIST (https://www.nist.gov/itl/ssd/software-quality-group/source-code-security-analyzers),,yes,,demo,,,
Dlint_duo,NIST (https://www.nist.gov/itl/ssd/software-quality-group/source-code-security-analyzers),,yes,no,,,,
GitLab SAST,NIST (https://www.nist.gov/itl/ssd/software-quality-group/source-code-security-analyzers),,yes,,try,no,,
RATS,NIST (https://www.nist.gov/itl/ssd/software-quality-group/source-code-security-analyzers),,yes,no,,,,
Contrast,OWASP (https://owasp.org/www-community/Free_for_Open_Source_Application_Security_Tools),,yes,,demo,,,
Aikido,OWASP (https://owasp.org/www-community/Free_for_Open_Source_Application_Security_Tools),,yes,,,no,,
ABOM Scanner,OWASP-SA (https://owasp.org/www-community/Source_Code_Analysis_Tools),,yes,,,no,,
CodeSonar,OWASP-SA (https://owasp.org/www-community/Source_Code_Analysis_Tools),,yes,,try,no,,
HCL AppScan CodeSweep,OWASP-SA (https://owasp.org/www-community/Source_Code_Analysis_Tools),AI,yes,,no,,,
Horusec,OWASP-SA (https://owasp.org/www-community/Source_Code_Analysis_Tools),,yes,yes,yes,,yes,
Veracode,OWASP-SA (https://owasp.org/www-community/Source_Code_Analysis_Tools),,yes,,demo,,,
Qodana,Wiki (https://en.wikipedia.org/wiki/List_of_tools_for_static_code_analysis),,yes,,,no,,
Sourcetrail,Wiki (https://en.wikipedia.org/wiki/List_of_tools_for_static_code_analysis),,no,,,,,
BetterScan CE,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,yes,yes,,yes,
Checkmarx CxSAST,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,demo,,,
CodeQue,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
DeepSource,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,try,no,,
Embold,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,,no,,
Qwiet AI,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),"AI, Taint Analysis",yes,,try,no,,no
TencentCodeAnalysis,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,yes,,no,,,
todocheck,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Upsource,Github-static-analysis (https://github.com/analysis-tools-dev/static-analysis),,no,,,,,
Flawnter,NIST (https://www.nist.gov/itl/ssd/software-quality-group/source-code-security-analyzers),,yes,,demo,,,
Coverity_scan,OWASP (https://owasp.org/www-community/Free_for_Open_Source_Application_Security_Tools),,yes,,demo,,,
Arnica,OWASP (https://owasp.org/www-community/Free_for_Open_Source_Application_Security_Tools),,yes,,,no,,
