CVE,project,CWE Type,Type,vul position,Codeql_reason,Semgrep_reason,Bandit_reason,Pysa_reason,Version,comment
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-27132,https://github.com/mlflow/mlflow,79;707,cross-site scripting,mlflow/recipes/recipe.py:BaseRecipe._get_artifact; mlflow/recipes/steps/ingest/__init__.py:BaseIngestStep._build_step_card,complex d/c-f source,implicit sink,no rule,complex d/c-f source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-6940,https://github.com/mlflow/mlflow,94;707,code injection,mlflow/utils/file_utils.py:render_and_merge_yaml,detected,detected,detected,no sink,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-6709,https://github.com/mlflow/mlflow,"94;664,707",code injection,mlflow/recipes/cards/__init__.py:CardTab.to_html,detected,detected,detected,complex d/c-f source,prior to 2.9.2,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-6568,https://github.com/mlflow/mlflow,79;707,cross-site scripting,mlflow/server/auth/__init__.py:create_user; mlflow/server/handlers.py:_get_request_json; mlflow/server/handlers.py:search_datasets_handler; mlflow/server/handlers.py:create_promptlab_run_handler,detected,detected,no rule,no source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-4033,https://github.com/mlflow/mlflow,78;707,OS Command Injection,mlflow/pyfunc/backend.py:PyFuncBackend.predict; mlflow/pyfunc/scoring_server/__init__.py:get_cmd,complex d/c-f source,partial detected,partial detected,complex d/c-f source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-5926,https://github.com/stitionai/devika,22;664,path traversal,src/state.py:AgentState.get_project_files,detected,rule implementation,no rule,no source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-5711,https://github.com/stitionai/devika,79;707,cross-site scripting,devika.py:project_files; src/apis/project.py:create_project; src/apis/project.py:delete_project; src/apis/project.py:download_project; src/apis/project.py:download_project_pdf,complex d/c-f  diff,detected,no rule,complex d/c-f diff,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-5548,https://github.com/stitionai/devika,22;664,path traversal,devika.py:project_files; src/apis/project.py:create_project; src/apis/project.py:delete_project; src/apis/project.py:download_project; src/apis/project.py:download_project_pdf,detected,no sink,no rule,no source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-5547,https://github.com/stitionai/devika,22;664,path traversal,devika.py:project_files; src/apis/project.py:create_project; src/apis/project.py:delete_project; src/apis/project.py:download_project; src/apis/project.py:download_project_pdf,detected,no sink,no rule,no source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-35920,https://github.com/sanic-org/sanic,22;664,path traversal,sanic/response.py:file; sanic/response.py:file_stream,interface-source,no sink,no rule,interface-source,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-28836,https://github.com/wagtail/wagtail,79;707,cross-site scripting,wagtail/contrib/modeladmin/views.py:InspectView.get_document_field_display; wagtail/contrib/modeladmin/forms.py:PageChoiceField.label_from_instance,complex d/c-f  diff,detected,detected,complex d/c-f diff,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-11001,https://github.com/wagtail/wagtail,79;707,cross-site scripting,wagtail/admin/compare.py:RichTextFieldComparison.htmldiff; wagtail/admin/compare.py:BlockComparison.htmlvalue,complex d/c-f  diff,implicit sink,no rule,complex d/c-f diff,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-5187,https://github.com/onnx/onnx,22;664,path traversal,onnx/hub.py:download_model_with_test_data,detected,no sink,detected,interface-source,version 1.16.0,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-32651,https://github.com/dgtlmoon/changedetection.io,"94;664,707",code injection,changedetectionio/notification.py:process_notification,detected,rule implementation,rule implementation,no sink,,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-41950,https://github.com/deepset-ai/haystack,"94;664,707",code injection,haystack/components/builders/chat_prompt_builder.py:ChatPromptBuilder.__init__; haystack/components/builders/chat_prompt_builder.py:ChatPromptBuilder.run; haystack/components/builders/prompt_builder.py:PromptBuilder.__init__; haystack/components/builders/prompt_builder.py:PromptBuilder.run; haystack/components/converters/output_adapter.py:OutputAdapter.__init__; haystack/components/converters/output_adapter.py:OutputAdapter.run; haystack/components/converters/output_adapter.py:OutputAdapter._extract_variables; haystack/components/routers/conditional_router.py:ConditionalRouter.__init__; haystack/components/routers/conditional_router.py:ConditionalRouter.run,detected,detected,no rule,no sink,has been fixed with Haystack 2.3.1,
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-24816,https://github.com/ipython/ipython,78;707,OS Command Injection,IPython/utils/terminal.py,detected,detected,detected,interface-source,Versions prior to 8.1.0,
https://www.cve.org/CVERecord?id=CVE-2024-27306,https://github.com/aio-libs/aiohttp,79;707,cross-site scripting,aiohttp/web_urldispatcher.py:StaticResource._directory_as_html,complex d/c-f source,implicit sink,no rule,complex d/c-f source,,
https://www.cve.org/CVERecord?id=CVE-2024-23334,https://github.com/aio-libs/aiohttp,22;664,path traversal,aiohttp/web_urldispatcher.py:StaticResource.url_for,interface-source,rule implementation,no rule,interface-source,,
https://www.cve.org/CVERecord?id=CVE-2021-31607,https://github.com/saltstack/salt,78;707,OS Command Injection,salt/modules/snapper.py:_is_text_file,detected,detected,detected,interface-source,,
https://www.cve.org/CVERecord?id=CVE-2021-3148,https://github.com/saltstack/salt,77;707,Command Injection,salt/utils/thin.py:get_tops_python,complex d/c-f source,detected,detected,complex d/c-f source,,
https://www.cve.org/CVERecord?id=CVE-2021-25283,https://github.com/saltstack/salt,"94;664,707",code injection,salt/utils/templates.py:render_jinja_tmpl,complex d/c-f source,detected,detected,complex d/c-f source,,
https://www.cve.org/CVERecord?id=CVE-2019-1010259,https://github.com/saltstack/salt,89;707,sql injection,salt/modules/mysql.py:user_chpass,complex d/c-f source,intrinsic,detected,complex d/c-f source,"SaltStack Salt 2018.3, 2019.2 is affected",
https://www.cve.org/CVERecord?id=CVE-2024-5751,https://github.com/BerriAI/litellm,"94;664,707",code injection,litellm/utils.py:get_secret,complex d/c-f env,detected,no rule,"complex d/c-f env, inadquate capability",version v1.35.8,
https://www.cve.org/CVERecord?id=CVE-2024-4890,https://github.com/BerriAI/litellm,89;707,sql injection,litellm/proxy/utils.py:PrismaClient:get_data,complex d/c-f source,no sink,no rule,"complex d/c-f source, inadquate capability",The affected version is 1.27.14,
https://www.cve.org/CVERecord?id=CVE-2022-2054,https://github.com/Nuitka/Nuitka,"94;664,707",code injection,nuitka/__main__.py:main; nuitka/build/SconsCaching.py:checkCachingSuccess; nuitka/nodes/NodeBases.py:fromXML; nuitka/plugins/PluginBase.py:NuitkaPluginBase.queryRuntimeInformationMultiple,complex d/c-f env,detected,no rule,complex d/c-f env,,
https://www.cve.org/CVERecord?id=CVE-2024-25722,https://github.com/netease-youdao/QAnything,89;707,sql injection,qanything_kernel/connector/database/mysql/mysql_client.py:KnowledgeBaseManager.check_kb_exist; qanything_kernel/connector/database/mysql/mysql_client.py:KnowledgeBaseManager.check_file_exist_by_name; qanything_kernel/connector/database/mysql/mysql_client.py:KnowledgeBaseManager.get_knowledge_base_name; qanything_kernel/connector/database/mysql/mysql_client.py:KnowledgeBaseManager.delete_knowledge_base,complex d/c-f source,intrinsic,detected,complex d/c-f,,
https://www.cve.org/CVERecord?id=CVE-2021-39207,https://github.com/facebookresearch/ParlAI,502;664,Deserialization,parlai/crowdsourcing/tasks/model_chat/model_chat_blueprint.py:ModelChatBlueprint._get_shared_models; parlai/crowdsourcing/tasks/model_chat/model_chat_blueprint.py:ModelImageChatBlueprint._get_shared_models; parlai/chat_service/utils/config.py:parse_configuration_file,complex d/c-f source,rule implementation,detected,no source,< 1.1.0 ,
